FrameSeq,X,Y,Distance,Angle,X_dbl,Y_dbl
\n14872,75,44,2.626000,-0.196349,2.575542,-0.512307
14872,75,45,2.621000,-0.190214,2.573727,-0.495549
14872,75,45,2.621000,-0.184078,2.576720,-0.479747
14872,75,45,2.620000,-0.177942,2.578630,-0.463751
14872,75,45,2.619000,-0.171806,2.580442,-0.447749
14872,75,45,2.609000,-0.165670,2.573278,-0.430258
14872,75,45,2.601000,-0.159534,2.567971,-0.413190
14872,75,46,2.600000,-0.153398,2.569470,-0.397273
14872,75,46,2.600000,-0.147262,2.571859,-0.381499
14872,75,46,2.597000,-0.141126,2.571181,-0.365289
14872,75,46,2.597000,-0.134990,2.573374,-0.349506
14872,75,46,2.596000,-0.128854,2.574478,-0.333581
14872,75,46,2.589000,-0.122718,2.569530,-0.316921
14872,75,46,2.583000,-0.116582,2.565466,-0.300451
14872,75,47,2.580000,-0.110447,2.564280,-0.284373
14872,75,47,2.570000,-0.104311,2.556031,-0.267592
14872,75,47,2.564000,-0.098175,2.551654,-0.251316
14872,75,47,2.555000,-0.092039,2.544186,-0.234827
14872,75,47,2.554000,-0.085903,2.544582,-0.219126
14872,75,47,2.553000,-0.079767,2.544882,-0.203429
14872,75,48,2.551000,-0.073631,2.544088,-0.187663
14872,75,48,2.540000,-0.067495,2.534217,-0.171307
14872,75,48,2.540000,-0.061359,2.535220,-0.155755
14872,75,48,2.540000,-0.055223,2.536128,-0.140196
14872,75,48,2.540000,-0.049087,2.536940,-0.124632
14872,75,48,2.545000,-0.042951,2.542653,-0.109278
14872,75,49,2.545000,-0.036815,2.543276,-0.093674
14872,75,49,2.533000,-0.030680,2.531808,-0.077699
14872,75,49,2.530000,-0.024544,2.529238,-0.062089
14872,75,49,2.529000,-0.018408,2.528572,-0.046550
14872,75,49,2.529000,-0.012272,2.528810,-0.031035
14872,75,49,2.530000,-0.006136,2.529952,-0.015524
14872,75,50,2.531000,0.000000,2.531000,0.000000
14872,75,50,2.534000,0.006136,2.533952,0.015548
14872,75,50,2.534000,0.012272,2.533809,0.031096
14872,75,50,2.531000,0.018408,2.530571,0.046588
14872,75,50,2.531000,0.024544,2.530238,0.062114
14872,75,50,2.535000,0.030680,2.533807,0.077761
14872,75,50,2.535000,0.036816,2.533282,0.093306
14872,75,51,2.538000,0.042952,2.535659,0.108977
14872,75,51,2.543000,0.049087,2.539937,0.124779
14872,75,51,2.538000,0.055223,2.534131,0.140086
14872,75,51,2.538000,0.061359,2.533224,0.155632
14872,75,51,2.538000,0.067495,2.532221,0.171173
14872,75,51,2.538000,0.073631,2.531123,0.186707
14872,75,52,2.538000,0.079767,2.529930,0.202234
14872,75,52,2.535000,0.085903,2.525653,0.217496
14872,75,52,2.547000,0.092039,2.536220,0.234092
14872,75,52,2.548000,0.098175,2.535731,0.249748
14872,75,52,2.549000,0.104311,2.535145,0.265406
14872,75,52,2.550000,0.110447,2.534463,0.281067
14872,75,52,2.550000,0.116583,2.532690,0.296613
14872,75,53,2.552000,0.122719,2.532808,0.312392
14872,75,53,2.552000,0.128854,2.530843,0.327927
14872,75,53,2.550000,0.134990,2.526802,0.343181
14872,75,53,2.552000,0.141126,2.526629,0.358960
14872,75,53,2.564000,0.147262,2.536248,0.376217
14872,75,53,2.566000,0.153398,2.535869,0.392078
14872,75,54,2.566000,0.159534,2.533415,0.407630
